plot_ID,year,LON,LAT,ECOSUBCD,ELEV,species_richness,SLOPE,STDAGE,EcM_percentage,Rs,Le,pre,tem,clay,bulk,totaln,ph,Rs_log,Le_log,EcM_percentage_square,STDAGE_square,species_richness_log,EcM_percentage_centered,EcM_percentage_sq_centered,Mycorrhizal.type
ridcirjizrjhd,2001,-114.690357,37.343207,341,6100,1,70,67,100,7.722393993,19.4045505,153,16.28333362,164.5993042,122.7889023,309.305542,71.38447571,2.949048162,4.278323109,10000,4489,0,41.72521566,1740.993622,EcM
ridcirjizcszr,2001,-114.39827,37.473969,341,6020,1,30,11,100,705.6275304,9.680088864,148,16.71666654,157.7548676,141.164032,202.4470978,73.94800568,9.462763039,3.275020292,10000,121,0,41.72521566,1740.993622,EcM
ridcirjizcffj,2001,-114.629334,37.521102,341,5510,1,65,93,100,13.79529474,16.98944374,135,17.9000001,141.1188507,139.1338348,184.215744,75.79296112,3.786104375,4.086566712,10000,8649,0,41.72521566,1740.993622,EcM
ridcirjizcgzg,2001,-114.085068,38.193678,341,7400,1,50,178,100,19.17543402,33.67018107,182,14.08333349,226.0307617,132.1302795,426.884491,70.47439575,4.261187327,5.073399574,10000,31684,0,41.72521566,1740.993622,EcM
ridcirjizcxgs,2001,-114.060874,38.066651,341,7920,1,25,89,100,9.239139084,38.33131583,192,13.50000008,210.903717,129.6743164,464.1462402,68.02886963,3.207758426,5.260451618,10000,7921,0,41.72521566,1740.993622,EcM
ridcirjizdrjz,2001,-115.635572,37.900482,341,6390,1,8,12,100,19.77542106,8.871373737,122,17.01666657,127.0381775,143.1355438,89.55314636,79.56500244,4.305636508,3.149157524,10000,144,0,41.72521566,1740.993622,EcM
ridcirjizfrss,2001,-114.063028,37.987104,341,7960,1,20,33,100,19.00746018,8.805148915,198,13.1833334,247.701355,120.4489365,463.6923828,68.70444489,4.248493864,3.138347403,10000,1089,0,41.72521566,1740.993622,EcM
ridcirjizfxsz,2001,-114.257077,38.27624,341,7360,1,25,91,100,17.99820789,32.23042362,179,14.08333349,190.3066559,138.9199677,389.1117554,72.01732635,4.169781357,5.010351245,10000,8281,0,41.72521566,1740.993622,EcM
ridcirjizxcgr,2001,-114.098148,38.005149,341,7140,1,35,0,100,1.451927801,7.743894787,180,14.66666667,172.2537079,139.4871826,221.4712219,75.23680878,0.537969715,2.953059352,10000,0,0,41.72521566,1740.993622,EcM
ridcirjixssch,2001,-114.529219,36.975628,322,5340,1,76,0,100,38.41889512,6.562617104,121,20.13333337,128.844101,142.4488983,86.58802795,79.49484253,5.263744124,2.714271261,10000,0,0,41.72521566,1740.993622,EcM
ridcirxizssdx,2001,-119.119078,38.561348,341,8020,1,34,64,100,14.57405215,7.243877539,109,10.95000005,146.0944214,126.5930176,257.5847168,67.78263855,3.865330153,2.856762157,10000,4096,0,41.72521566,1740.993622,EcM
ridcirxizsczx,2001,-119.550326,39.097821,341,5970,1,55,78,100,21.13769318,24.46521262,91,15.14999994,173.9132996,131.6187286,251.7155914,69.75114441,4.401746035,4.612659916,10000,6084,0,41.72521566,1740.993622,EcM
ridcirxizrrgh,2001,-119.122734,38.691902,341,6280,1,25,70,100,57.62989805,14.99936059,84,14.4333334,112.5192795,141.6482086,112.9869308,75.8236618,5.848745562,3.906829096,10000,4900,0,41.72521566,1740.993622,EcM
ridcirxizccsd,2001,-119.491885,39.18789,341,7650,1,30,101,100,11.79328342,52.22636191,121,12.91666659,187.6383667,125.0915756,283.2405701,67.22593689,3.559893536,5.706706304,10000,10201,0,41.72521566,1740.993622,EcM
ridcirxizcddh,2001,-119.188185,38.608878,341,6800,1,32,161,100,17.24185356,18.90645256,93,13.55000019,111.6276932,136.4185944,124.315361,70.99388885,4.107842972,4.240806789,10000,25921,0,41.72521566,1740.993622,EcM
ridcirxizcfrf,2001,-119.48553,39.135185,341,7960,1,32,111,100,35.3052927,26.33417709,130,11.98333351,169.5092926,118.9433746,323.6009827,64.31253052,5.141812572,4.718864473,10000,12321,0,41.72521566,1740.993622,EcM
ridcirxizcjcc,2001,-119.181066,38.651029,341,7610,1,45,144,100,12.37427765,69.892971,107,12.21666646,149.9360199,124.5208435,291.767395,67.63308716,3.629272405,6.127075469,10000,20736,0,41.72521566,1740.993622,EcM
ridcirxizdddj,2001,-119.300561,38.646178,341,6410,1,15,101,100,14.34190871,57.92040218,91,14.43333324,105.8866272,139.8836212,160.0070038,74.94639587,3.842165135,5.855999715,10000,10201,0,41.72521566,1740.993622,EcM
ridcirxizfdgg,2001,-119.074579,38.655808,341,6510,1,18,82,100,57.60214455,17.54128324,86,14.13333321,113.1694946,138.1719666,109.8793335,75.01141357,5.84805062,4.132682387,10000,6724,0,41.72521566,1740.993622,EcM
ridcirxizhhzc,2001,-119.545867,39.140725,341,5930,1,4,73,100,28.27733415,151.9323432,89,15.64999994,145.6624908,139.3450317,142.0519409,72.42001343,4.821574211,7.247285212,10000,5329,0,41.72521566,1740.993622,EcM
ridcirxizhjfc,2001,-119.155635,38.58614,341,7240,1,15,180,100,29.27494841,34.55941535,101,12.44999989,142.8233337,133.5034027,193.5787354,66.50340271,4.871594723,5.111006906,10000,32400,0,41.72521566,1740.993622,EcM
ridcirxizhjjf,2001,-119.233106,38.559304,341,7160,1,33,81,100,24.46112899,2744.402778,98,13,122.2417679,136.6732178,177.8057404,70.46142578,4.612419087,11.42227652,10000,6561,0,41.72521566,1740.993622,EcM
ridcirxizjhxz,2001,-119.178057,38.46914,341,6480,1,30,90,100,17.47014371,24.93721477,88,14.00000032,115.0599823,138.0001068,172.2143097,72.00189972,4.126819571,4.640228435,10000,8100,0,41.72521566,1740.993622,EcM
